ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
109,Mariner's Harbor,Staten Island,10040,2117,846,29956,14216,15740,7775,2956,10374,6913,9054,3039,23256,12109,6109,904,4606,307,109,45.5,12252,9326,2521,398,7,1753,68202,23239,39976,27056,2854,29872,POINT (942592.1184090227 169765.7710826844)
110,Maspeth,Queens,10838,3764,1152,29111,14198,14913,6193,3769,8874,15685,401,3716,23667,14210,5484,1010,6484,762,245,41,14384,11688,1903,751,42,858,79157,30876,37054,24751,4166,28833,POINT (1013016.015946776 203586.3435332775)
111,Melrose,The Bronx,14293,4297,1632,43244,19941,23303,13699,3663,27262,628,14211,261,30880,14633,1767,410,9879,1479,704,41.9,14928,12280,1815,828,5,3148,39830,14379,21877,37152,5948,42852,POINT (1009320.531867936 237948.7462650239)
112,Middle Village,Queens,14631,4484,1673,38033,17839,20194,7018,7384,6757,26824,334,3693,31684,17917,7733,1422,7211,991,454,40.1,18313,13987,3665,644,17,928,85918,34522,46480,34535,3115,37571,POINT (1017198.589602605 200307.9931346029)
113,Midtown-Midtown South,Manhattan,15507,9035,2291,27811,13456,14355,1966,4193,2307,17344,1148,6029,26120,16877,553,188,6460,7281,1641,23.6,17108,14859,753,1478,18,1458,181291,105400,89782,26403,1402,26370,POINT (989328.7129277736 214231.5384501815)
114,Midwood,Brooklyn,18697,5387,2716,53377,25735,27642,14500,7954,3879,39881,2814,5946,40368,20868,5996,1302,9865,2526,866,38.2,21355,17106,2354,1876,19,2369,77887,27728,30258,48525,4575,53020,POINT (996021.1503302753 167200.6830370128)
115,Morningside Heights,Manhattan,19319,7518,2657,53707,23985,29722,6898,6779,11803,25978,5965,8025,47336,22218,1020,205,13669,4971,1478,30.7,22556,18680,1781,2059,36,3165,109444,41508,42056,49829,3372,43660,POINT (994244.6519147754 233655.2108888477)
116,Morrisania,The Bronx,13736,4010,1151,39939,18955,20984,11007,3339,24309,589,14149,209,30392,14405,2881,384,9100,1324,467,42.9,14755,11809,2138,771,37,2537,40974,15083,22821,34556,5172,39615,POINT (1011509.726636529 239349.2920203507)
117,Mott Haven-Port Morris,The Bronx,18480,5377,2089,55080,26262,28818,17134,4585,39533,836,13870,320,39844,17959,2023,459,12976,1773,410,42,18668,15332,2013,1305,18,4642,33368,12398,20516,46509,8517,54596,POINT (1007476.820004195 233022.6839386821)
118,Mount Hope,The Bronx,17135,4496,1236,52973,24875,28098,14686,3985,36161,809,14155,923,40169,20779,2881,721,14087,1767,1007,40.9,21343,18090,1869,1356,28,2762,37552,13443,20400,45199,7519,52345,POINT (1009620.07063894 248546.6207385212)
120,Murray Hill-Kips Bay,Manhattan,26059,15497,4158,47774,22112,25662,4582,7071,5728,29280,1996,9145,43655,29494,656,409,12555,12535,1922,25.4,29935,26158,1947,1737,93,1662,134337,76871,79076,45322,2253,46061,POINT (990253.7458546013 211904.3856241852)
119,Murray Hill,Queens,17715,3872,1792,52659,24719,27940,8773,9190,7756,12939,741,29772,44665,23579,8022,2808,9155,2828,401,40.2,24244,20528,2540,1163,13,1524,72306,25826,32408,41347,10583,51899,POINT (1036117.33818236 217723.9261504412)
121,New Brighton,Staten Island,6136,1480,577,18083,9327,8756,4397,2365,5219,9883,1754,840,14140,7695,4388,508,2356,203,216,40.9,7838,5552,1787,499,0,506,96088,33074,46558,15820,1688,17466,POINT (960100.5030116141 172681.5300149322)
192,New Brighton,Staten Island,12074,3528,1321,33175,15887,17288,9034,3645,10090,7818,11829,1914,25027,13115,4928,966,5968,782,353,44.2,13300,9832,2644,816,8,1830,67064,24737,37793,29906,2969,32839,POINT (960100.5030116141 172681.5300149322)
